"","MEblue","MEgreen","MEmagenta","MEturquoise","MEbrown","MEblack","MEred","MEpurple","MEpink","MEyellow","MEgrey"
"713_S-3-X2",0.0769282615133019,-0.0593911560952945,-0.0535367693568321,-0.0680916629035371,-0.0347264318340173,-0.048872573751952,-0.0313958319487849,-0.0378149164278182,-0.0449691029233435,-0.060547694985025,0.410934321482248
"714_S1_1-5",-0.180338994100503,-0.0800568396279304,0.357321088063171,0.170707516571349,-0.0200397611703959,0.113765399513644,-0.0192588425769354,0.00740731950134044,0.107593662752516,0.23338441521742,-0.0465199203041302
"714_S1_10-14",0.0581450511193059,0.012541583002075,-0.0272703161658851,0.126400069344183,-0.0401895842146181,-0.0487180976972867,-0.0268933513104528,-0.0378149164278182,-0.0572415864011461,-0.0580640035900928,-0.0773699468014241
"714_S1_20-24",0.157059481538396,0.196783631702374,-0.0571965588292576,-0.10005847770242,-0.0420024671716717,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0696455000075871,-0.0593576173450381
"714_S1_30-34",0.0657811126452748,0.254935564288561,-0.0579672808175104,-0.13275573628809,-0.0414068234408074,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.070006351453687,-0.0663777874149538
"714_S1_40-44",0.0656312476729196,0.379272893993003,-0.0581944751442086,-0.142280108410189,-0.0426305096610252,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0701812618104818,-0.0769487437180335
"714_S1_5-9",-0.0873242010416595,-0.0699013601160602,-0.00514009453815347,0.22959324812736,-0.0401218619189174,-0.049387051406806,-0.0285352895730536,-0.0378149164278182,-0.0521482559866031,-0.0338688227110559,-0.0649304531095175
"714_S2_1-5",-0.189079893386738,-0.080506086678394,0.10642035012246,0.0321170768533996,0.078019382834126,0.1013571960005,-0.00626789136968902,0.0638040415068732,0.234387037945877,0.223668534937901,-0.0280807613599721
"714_S2_20-24",0.131745698861098,-0.0414939533156328,-0.054899839181567,-0.0338867808964585,-0.0397130579424602,-0.0495254147678812,-0.0255257087617447,-0.0378149164278182,-0.0571611818762042,-0.0631181015421506,-0.00926425440032207
"714_S2_40-44",0.0810769884662663,0.059745232330185,-0.0588815147393353,-0.111635083430395,-0.0413060846109418,-0.0395254908911097,-0.00758800969179271,-0.0378149164278182,-0.0591288012593094,-0.0687321925348104,-0.0629046056180752
"714_S2_5-9",-0.147527062718977,-0.080506086678394,0.00725877606449918,0.165027787281425,-0.0278698159695229,-0.0503120151725726,-0.0313958319487849,-0.000247282088977796,-0.0102107098862198,0.0121835378490441,-0.00904953039173613
"714_S3_1-5",-0.183687689185651,-0.080506086678394,-0.0481001941800729,-0.109166354925849,0.480077224886218,0.086543993350076,0.0250369511123022,0.200732253558968,0.307377806023433,0.101491423234337,-0.0248256485375124
"714_S3_10-14",-0.0561085648247441,-0.060190851292572,-0.0293624345483008,0.187616629854221,-0.0130759095105584,-0.0438695511186868,-0.0250572431297157,-0.0378149164278182,0.00714451518640829,-0.0283114042524536,0.0422381994982214
"714_S3_20-24",0.020528877653287,-0.0537553003002418,-0.0588815147393353,0.00990423250153338,-0.0421086093269073,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0592717499750634,-0.0676845565869397,0.0232512040571362
"714_S3_30-34",0.133863116753992,-0.0488033974205921,-0.0588815147393353,-0.0809121705576381,-0.0427394003966526,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0693236584708032,-0.031148647636386
"714_S3_40-44",0.110808404483143,0.0202231798410192,-0.0588815147393353,-0.099147078400585,-0.0412449779995183,-0.0503120151725726,-0.0303434684745435,-0.0378149164278182,-0.059586148014153,-0.0689105661695426,-0.0304537215541588
