"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20140700_S33_2" 0 1.3655924 4.2513604 0 0 0 0 0 0 0 0.97521305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.884934 4.215676 0 0 0 0 0 0.1560475 4.8699336 0 0.0743595 1.0847318 36.32276 0.06418726 0 0 0 0 0 0 0 0 0 0 0.29961756 0.08296056 0 0 0 4.222727 0 0 3.1291454 2.2763617 0 0 0.06894532 0 0 0.061895885 0.693831 0
"20111000_S1D_3" 0 1.0475569 0.07047514 0.27079248 0 0 0.26205912 2.2994874 0.22476166 0 1.4266623 0 0 0.2468267 0.24989782 3.7892962 6.4083843 0 0 0 2.8169692 0.3321515 0.06371123 0 0 1.0394592 0.088996224 0 0.11049419 1.1973008 1.6446695 0.28751507 0 0 1.12617 0.82524085 0 0 2.2779207 8.231672 0 0 0.778187 0.06422296 0 0 3.2891269 0 0 1.1940972 0.42643216 1.5847229 0.092011645 0.097002625 0.082004115 0 3.3433547 0.19813305 0 0.8134669 0 0 0.068635434 0 0 0 0.17999776 0 0
"3300036876_12" 0 0.33457544 0.3047679 0.5154614 0.06292251 0.41111118 0.23161183 0.606728 2.99 0.099584706 0.683635 0.11499347 0 0.10957385 0.069742575 0.5346342 15.092264 0.105558515 0.6788979 0.06860423 0.6479505 0.6950914 0.23441195 0.1327996 0 0.056244634 0.12281661 0.15339431 0 0.3607681 0.5032048 2.1911726 0.07974171 0.16024974 0.097749986 0.47130275 0.83919686 0 0.1356028 1.9207579 0.70866853 0.05692103 0.082338914 0.7264455 0.3979553 0.09404441 0.10684443 0.94935256 0.20186731 0.6520242 0.16417591 0 0 0 0 0 1.2625455 0.14163195 0 0.6129216 0.3855288 0 0 0.1389963 0.109541565 0.59457976 0 0.8094193 0
"20120700_S1D_24" 0 0.6863187 1.8456017 0.29426327 0 0.88523495 0.06623158 0 3.201676 0.11995984 0.9163464 0.10701732 0 0.38468924 0.36263227 0 1.4192313 1.1615791 0.3794723 0 0 1.5724995 0.47273576 0 0 0.0901681 0.42858806 0.6256271 0.21313784 0 0.3157054 3.194087 0.08975701 0 0 0.15786532 0.64843917 0 0 0.44118962 0.5544 0.56477845 0 0.20227796 0.09295179 0 0.06743441 0.273169 0 0.61566544 0.13148418 0 0.2330071 0.45342848 0.2443187 0 0 0.16388582 0.7815208 1.0838966 0.7376727 0.09607526 0 1.4097993 1.6196947 0.8629076 0 0.65965563 0
"20120700_S1D_39" 0 0.46249983 0.8254698 0 0 0 0 0 1.1796663 0 0 0 0 0 0 0 1.2545863 0 0 0 0 0.06749193 0 0 0 0.10385827 0.30505228 0 0 0 0.2699306 3.6499262 0 0 0 0.5368422 0 0 0.4547139 0.5002003 0 0 0 0 0 0 0 0 0 0 0 0 0.21206929 0 0 0 0 0 0 0.1670692 0 0 0 4.2176695 0 0 0.07004133 0.092110194 0
"PLTZ01" 0 0 0 5.8768573 1.2033744 0 0.14327323 0.074862435 14.745756 0.39069876 5.8265204 0 0 0 0 0 0.41113853 0.13338594 1.1712792 0 0.47984603 13.859275 3.0062268 0.3537476 0 0 0 0 0 0.24586089 4.65087 4.352437 0.2811974 0.13871472 0 0 8.027333 0.46212053 20.194971 14.400286 0.15827857 0.5172396 0.6393493 11.66172 0.9608243 0.107476704 0.50298214 0.22120696 0 2.033799 1.3419843 0 0.25437427 0 0 0 0 0 0 31.389593 0.81930995 0.09172232 0 0 0 0 0.52636606 1.3087528 0.10900779
"Bog.None.R1.T0.trimmomatic.megahit_bin.27_76.49_0.00" 0.08167004 2.5063322 0.06340606 0 0 0.07139779 0.11562607 0.7013999 1.7687036 0 0.23658416 0 0 0 0 3.2025921 3.0028882 0.23981157 0 0 1.7084984 0.08176142 0.076603524 0 0 0.6748682 0.3282872 0.05599966 0 3.5799148 0.24523029 0.31440547 0 0 0.07118337 0.74347395 0 0 2.2287438 1.5060868 0 0 0 0 0 0 0.59331584 0 0 0.057419635 0 0.6210369 0.5525039 0.08141713 0.06926728 0 0.21274965 0 0 2.1463096 0 0 0.6927941 0.83108974 0 0 0.12563498 0 0
"20120700_S1D_98" 0 1.1509104 1.581431 0.17314585 0.0820479 0.6935509 0.15613787 0.22236949 5.9710283 0 2.6143131 0.15439288 0 3.28172 3.0324893 0 4.575851 6.3928704 0.8358897 0 1.214117 2.0160003 0.67414933 0 0.22088034 1.1831915 4.983066 2.349068 0.91748416 0.1404491 0.30347618 2.9879832 0.41384333 0 0 0.6889874 1.66015 0.06121975 1.774877 5.4612093 0.9413408 2.3887722 0.24848656 1.630352 0.38485563 0.30494437 2.7757363 0.2042678 0 0.8470576 0.37335858 0 0.70070267 16.609362 1.4551058 0 2.4113133 0.13522702 0.20833845 10.046946 8.070263 0.111947306 0 1.6402442 0.40167218 2.3634508 0.38827497 3.2121341 0
"20120700_S1D_29" 0 1.096656 0.40445507 0 0 2.8534184 0.10676198 1.4538542 1.5798087 0 0.40815187 0 0 0 0 0 0.31223798 5.4505553 0.44097215 0 0.8518305 0.09328856 0 0 0.058959156 0.9766685 0.256952 0 0 0.7446041 0.33989024 0.146673 0 0 0.6667253 3.1759965 0.14652221 0 4.4994774 2.4343662 0 0 1.6026707 0 0 0 3.5571976 0 0 0 0 0 2.300451 0.20765796 0.06252009 0 5.70768 0.8446985 0 3.2037692 0 0 0 0.37236714 1.6223066 0 1.1028498 0 0
"20150700_E14_4" 0 2.1744816 3.7238128 1.250396 1.135502 10.488987 0.15345167 0.4695321 7.807488 1.0481192 2.8389413 2.2709122 0 21.733065 20.96365 0.18844455 6.30648 8.146044 2.7294858 0.6468296 1.2674428 3.5162737 1.2998831 1.0089383 0.174538 2.231786 1.6706591 3.2494485 4.058034 1.4608691 1.7688255 5.7911754 0.60420454 1.5246958 0.09137991 0.78147465 11.053743 0.22684187 2.3238087 12.769789 18.614328 1.0805781 3.2060015 1.7453132 0.5070756 9.273686 3.3613763 0.47565034 0.40410665 1.7929254 1.9112694 0 17.265331 8.002544 19.563848 0 3.8016183 0.6386486 0.66237575 8.725728 0.3949355 0.4154282 0 23.488615 11.630786 1.6978679 1.2841167 11.615638 0.34605408
