"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"3300037185_7" 0 0 0 0.25550327 0.060216468 0 0 0 0 0.087962694 0 0 0 0.09218651 0.06978652 0 0 0 0 0 0 0.057722334 0.1448646 0 0 0 0 0 0 0 0 0.061315134 0 0 0 0 0 0 0 0 0.3010807 0 0 0 0 0 0 0.064414896 0 0 0 0 0 0 0 0 0 0 0 0 0.27820915 0 0 0.06359318 0 0 0 0.19942307 0
"20170700_S25_23" 0 0 0 0 0 0 0 0 0.085344546 0 0 0 0 0 0 0 0 0 0 0 0.10960837 0.41918638 0.071911186 0 0 0 1.0162115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.71342 0 0 0 0 0 0 0 0.14827718 0.429502 0 0 0.20649643 0.7366478 0 0 0.35485348 1.5117719 0.97639984 0 0.087815285 0 0 3.295428 6.282472 0 0 0.544215
"20140700_S36_11" 0 0 0 0.61553067 1.3836434 2.388471 0 0 0.5480437 3.889541 1.105018 11.163888 0 17.028147 14.172921 0 0 2.4917996 0.97370785 1.9681519 0 3.2587557 7.067405 2.1866593 0 0 0.40825176 1.4642141 2.6997418 0 0 0.82553285 3.8275943 9.464542 0 0 4.116887 0.09833441 0.092973426 6.7882032 12.359153 11.89227 0 0.86216724 3.1252928 11.102191 0 5.445595 1.6926851 4.0937138 7.0469065 0 0.0623637 1.212283 8.521417 0 0 0 0.23490852 0.44933426 8.212963 2.0537984 0 0.22257274 5.755684 8.020151 0 5.4967217 1.9382648
"20120700_S1D_73" 0 0.29759333 0.426898 0.9691474 1.2593707 0.93598807 0 0 2.3106625 0.5531488 0.9734505 0.45160177 0 0.42858034 0.42493656 0 0.7603289 0.32641786 0.42287573 0 0 1.3849018 1.2174627 0.42008603 0 0 0.35396302 0.2722454 0.308815 0 0.36991346 1.523675 0.6878324 0.6124027 0 0 1.2846445 0 0.0762307 0.9387855 0.47115433 0.35102427 0 0.37946314 0.3996455 0.2340403 0.21045914 0.7129486 0.4723858 0.97863734 0.4858179 0 0.83622074 0.867928 1.0494245 0 0.15780531 0.25181895 0.87407345 0.4175792 1.0310174 0.6925741 0 2.284484 1.5785062 0.9285865 0 0.58265024 0.9090285
"20120700_S1D_103" 0 0 0.9696536 1.5393411 1.162233 1.5553348 0 0 1.0356958 0.23925358 0.55359125 0.6728424 0 1.0087827 0.90377533 0 0 0.79590464 1.222693 0 0 1.3470864 1.4835734 0.3385356 0 0 0.31012633 1.1726148 0.52411985 0 0 2.1173222 1.2201735 0.41275427 0 0 1.2450657 0 0 0 0.37803665 0.67329866 0 0.5607169 1.094256 0.26424178 0 1.6863204 0.39841524 1.3515717 0.5937679 0 0.27799782 1.1166695 0.26613966 0 0 0 0 0 0.8167296 0.121454306 0 0.55307966 1.3490372 0.66644627 0 0.8180851 0.20721251
"20120700_S1D_30" 0 0.09229573 0.71322584 0.92919654 0.12931499 1.6727014 0 0 2.1658924 0 0.91276175 0 0 0.91256756 0.86093634 0 0 0 0 0 0 1.3550577 0.33868015 0 0 0 1.0069902 0.16974029 0.22502758 0 0.124018475 0.58885545 0.06697392 0.14322326 0 0 0.30179477 0 0.82917076 1.9891659 0.91799706 0.3490551 0 0 0.31673145 0.059836637 0.076829046 0.19088745 0.14190277 0.27973673 0 0 0 0 0 0 0 0 0 0.85391176 0.45687276 0.7252242 0 0 0 0 0 0.26834702 0.2920143
"20160700_E23_26" 0 0 0 0.51897234 0.089991204 0 0 0 0.5466625 0.27323657 0.65979594 0.10668322 0 0 0 0 0 0 0.096492134 0 0 0.8475903 0.91595167 0.21190551 0 0 0 0 0 0 0 0.2159841 0.13332364 0.07050146 0 0 0.6895327 0 0 0 0 0 0 0 0 0 0 0.40917116 0 0.08486956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1020037 0 0 0
"PLXS01" 0 0 0 0.8635313 2.2352617 0 0 0 0 2.2486672 0.35161826 3.396909 0 0.43761846 0.39295 0 0 0 3.1272974 1.9158113 0 0 0.4783481 4.2159395 0 0 0 0.2708009 0.69977975 0 0 0.11835413 2.2739053 5.887089 0 0 1.1959478 0 0 0 0 0.13529752 0 0 0.47428092 3.2593236 0 0 2.8544014 3.3602896 5.0946126 0 0 4.3577676 8.940976 0 0 0.14541258 1.5353255 0 0.2864435 5.026154 0 0 0.34595308 7.2685485 0 0.06734031 3.9271758
"20120700_S1D_89" 0 0 0.24747851 2.2097998 3.365181 0.74753004 0 0 3.0541143 3.3487303 2.209607 1.0511155 0 0.6688189 0.59527916 0 0.23090553 1.4757581 0.51101714 0 0 1.5746192 4.5154123 1.1869992 0 0 0.07067036 0.70187765 0.13161811 0 0.15886186 2.0493317 3.1637352 1.8781729 0 0 4.196583 0 0 0.30969167 0.84771717 2.456923 0 0.33211562 0.47820956 0.5140408 0 1.3877252 0.31501845 0.85313094 0.33893967 0 0.27092448 2.5635948 0.2173381 0 0 0 0.16597115 0 2.410176 2.3762734 0 0.3976367 1.653893 4.944657 0 0.5654099 3.1696527
"20170700_S24_4" 0 0.90542173 2.4921315 2.147029 2.8408701 4.295465 0.09421879 0 5.571827 1.3866003 2.8201973 1.940157 0 9.603318 8.928515 0 4.310743 3.734415 3.7715435 0.37267834 0.1524906 1.8952293 4.130303 0.6572036 0 0.1651405 2.2764745 2.3621285 3.8089025 0 0.4518993 2.9260063 2.146347 1.7111871 0 0.1717442 10.328121 0 0.113155715 1.1440214 2.7642655 4.0931444 0 0.75667804 2.1448896 0.6867557 1.5745668 2.482627 1.229872 3.1933851 1.8525127 0 10.138638 6.583965 5.2137322 0 4.642683 5.159916 4.9279447 2.2932472 3.3927295 2.1252718 0 16.689978 37.805264 5.3950825 0 1.8525711 2.1269684
