"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S2_10-14" "715_S2_20-24" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14"
"20140700_S22_7" 2.3351853 2.0229886 0.4224057 0.2237043 0 0.058675636 1.2391151 18.952776 3.7353287 0.12208644 0.99635196 0 7.9528995 0 0 14.189461 5.574418 0 0.09040441 0 15.63167 0.23689957 0.24529631 0 7.8960257 0.57472664 0.20315997 0.06270924 0 11.617597 1.0765705 0.4915314 0 0 2.553305 12.593539 0.22109236 3.373389 2.773264 2.055006 0 0 7.7178802 0.28875503 0 1.5471288 0 0.31807354 0.23505525 6.00699 0.16544898 0.07361941 0 5.429542 0.7240315 0.10845307 0 5.9043517 0 9.31898 4.8231015 0 0.11055545 5.940922 0
"20140700_S21_13" 1.6256348 0 0 0 0 0 0.32021713 9.514003 0 0 0.5445003 0 0.99478155 0 0 4.6206436 0.12511751 0 0 0 1.7381643 0 0 0 1.0372113 0 0 0 0 2.423948 0 0 0 0 13.122943 0 0 0.48603204 0.16756167 0 0 0 1.575381 0 0 0 0 0 0 3.0313306 0 0 0 0.25733826 0 0 0 0 0 1.8324897 0 0 0 0.19356304 0
"Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.91_72.76_1.72" 0.44962808 5.91261 0.80456084 0.203711 0.37271842 0.56407416 2.25993 12.757558 3.552551 0.14916494 1.0099124 0 2.1749463 0.14129709 0.14085574 26.45755 13.423216 0.24693105 0.56994426 0 18.126574 0.27677295 0.25777024 0 18.654787 2.5656602 0.60498255 0.9951532 0.5257884 8.10173 0.4177298 1.2552614 0 0 1.8309823 0.96713704 1.3325207 0.15682124 8.214606 3.991139 0.070533216 0.24772751 3.5331779 0.06764129 0.17878468 1.3445438 0 0.1755729 0.12108503 0.16418955 0.11987398 1.9242568 0.93459815 0 2.0080938 1.4951483 1.7040982 2.5345407 0.29961103 2.6552804 1.1179068 1.1267848 1.2247565 1.704251 0.119340025
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.304_97.97_7.51" 1.569949 0 0 0 0 0 3.5400577 13.099938 0.103311196 0 0.27884305 0 2.4489224 0 0 5.9687095 0.107736155 0 0 0 11.359524 0 0 0 2.7050555 0.30602303 0 0 0 4.8880143 0 0 0 0 5.20457 0 0 0.14551301 0.37962 0.2213979 0 0 3.0365298 0 0 0 0 0 0.07710868 2.7517807 0 0 0 0.5222872 0.74945146 0 0 0.31160575 0 6.1410646 0 0 0 3.6106687 0
"Palsa.Unlabelled.R1.T3.F1.trimmomatic.megahit_bin.10_70.35_4.99" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.060898628 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23818919 0 0 0 0 0
"3300029985_7" 0.12547992 3.4023814 0 0 0 0 0.35132587 1.8401504 1.2233896 0 0.07382921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.9289973 0.14434536 0 0 0 0.12792915 0.08750145 0 0 0 0 0 0 0 0 0 0.06525826 0 0 0 0.09590557 0 0 0 0 0.18122216 0 0 0 0 0.059233557 0 0 0 0 0
"Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.54_94.58_0.00" 0.346389 0.07975278 0 0 0 0 0 0.44731957 0 0 0 0 0.4339637 0 0 0.3663656 0 0 0 0 0 0 0 0 1.1604193 0 0 0 0 0.3220607 0 0 0 0 0 0 0 0 0 0 0 0 0.45073164 0 0 0 0 0 0 0.35740107 0 0 0 0 0.08222487 0 0 0 0 0.32058254 0 0 0 0 0
"Bog.None.R3.T0.JGI.BFC.metaspades_bin.6_96.55_2.67" 0.32372543 0 0 0 0 0 0 0.1799867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31706432 0 0 0 0 0.9181258 0 0 0 0.15338172 0 0 0 1.0694888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.89_90.44_1.43" 0.57903445 0.11006678 0 0 0 0 0.44010282 0.47011703 0.058797136 0 0 0 0.3837819 0 0 0.6177772 0 0 0 0 1.2929446 0 0 0 0.12310206 0 0 0 0 0.11343021 0 0 0 0 0.13233866 0 0 0.19259039 0 0 0 0 0.23911229 0 0 0 0 0 0 0.123018764 0 0 0 0 0 0 0 0 0 0.15797816 0 0 0 0.115378864 0
"Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.70_92.60_2.94" 0.20121127 0 0 0 0 0 0.25116855 0.97326434 0 0 0 0 0.14422499 0 0 0.06249789 0 0 0 0 0.08125874 0 0 0 0.34326285 0 0 0 0 0.26889235 0 0 0 0 1.3091885 0 0 0 0 0 0 0 0.30409887 0 0 0 0 0 0 0.16259566 0 0 0 0 0 0 0 0 0 0.82751465 0 0 0 0 0
