"genome" "711_S-1-S" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-S" "712_S-3-D" "712_S-3-X" "713_S-1-S" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_1-5" "714_S2_5-9" "714_S2_20-24" "714_S3_1-5" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_S1_1-5" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_1-5" "716_S2_10-14" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_S2_1-5" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"20120500_P23_6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3943717 0.078637764 0 0 0 0 0 0 0 0 0 0 0 0 0.35704437 0 0 0 1.0872391 0 0 0 0 0 0 0 0 0 0 0.35759726 0 0
"Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.45_83.28_6.50" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19503038 0 0 0 0 0 0 0 0 0 0 0 0 0.08739662 0.056245156 0 0 0 0 0 0 0 0 0 0 0 0 0.36906764 0 0 0 0.7236402 0.1998496 0 0 0 0 0 0 0 0 0 0.40004236 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.311_71.88_3.42" 0.09478571 0 0 0 0 0 0 0 0 0 0 0 0.18045929 0 0 0 0 0 0 0 0 0 0 0 0.1577493 0 0 0 0 0 0 0 0 0 0.73710126 0 0 2.5637658 0.39948758 0 0 0 0 0 0 0 0 0 0 0 0 0.40642953 0 0 0 3.5869787 0 0 0 0 0 0 0.06635732 0 0 0 3.908961 0 0
"Palsa.Labelled.R3.T1.F3.trimmomatic.megahit_bin.10_90.51_2.85" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.7050446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5402132 0 0 0 0 0 0 0 0 0 0 0 0 0
"PLDW01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.119659506 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14611469 0 0 0 0 0 0 0 0 0 0 0 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.97_73.23_1.91" 0.11553626 0 0 0 0 0 0.082609825 0 0 0 0 0 1.0071405 0 0 0 0 0 0 0 0 0 0 0 0.60899395 0 0 0 0 0 0 0 0 0 0 0 0 2.166548 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07789273 0 0 0 7.3252015 0 0 0 0 0 0 0 0 0 0 1.2422478 0 0
"20130700_P1Y_5" 0 0.06985073 0 0 0 2.7204382 0 0 0 0 0.108278625 0 0 0 0 0 0 0.36287907 0 0 0 0 0 0 0.24070586 0.39601916 0.06007767 0.30882812 0.6420175 0 0 0 0 0 0.3708415 2.1274545 0 0 0.10031181 0.37124082 0 0 0 0 0 0 0 0 0 0 0 1.3796296 0.056131687 0 1.1595728 0.5778431 11.332134 0.6173076 0 2.698705 0 0 0.16743696 0.31813458 0 0 1.929062 0.1741424 0
"3300037180_6" 0.07219038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.31501356 0 0 0 0 0 0 0 0 0 0.11439512 0 0 0.8967559 0 0 0 0 0 0 0 0 0 0 0 0 0 0.15626958 0 0 0 2.2802782 0 0 0 0 0 0 0.07506984 0 0 0 0.20785965 0 0
"Palsa.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.38_96.40_3.38" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22080314 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14928153 0 0 0 0 0 0 0 0 0 0 0 0 0
"3300037349_11" 11.838203 0 0 0 0 0 0.08015492 0.83234894 0 0 0.26583427 0 28.58831 0 0 0 0 0 0 0 0.07922336 0 0 0 20.954124 0.18989988 0.15009984 0 0 1.4849325 0 0 0 0 16.938692 0 0.06045622 19.400524 0.6985924 0.17622387 0 0 0.9825214 0 0 0 0 0 0 0.15962686 0.19148521 0.3247318 0 0 0 43.413666 0 0 0 0.12537645 0 0 0.25398782 0 0 0 23.119564 0 0
"Palsa.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.54_94.98_2.76" 0.12487607 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8811273 0 0 0 0.6316306 0 0 0 0 0 0 0 0 0 0 0 0 0
"20160700_S23_5" 0.09005263 0 0 0 0 0 0 0 0 0 0 0 0.5081662 0 0 0 0 0 0 0 0 0 0 0 2.7735763 0 0 0 0 0 0 0 0 0 0.6070085 0.119811244 0 2.598724 1.5044038 0 0 0 0 0 0 0 0 0 0 0 0 0.6938828 0 0 0 1.6616001 36.959026 0.86898494 0 0.15297975 0 0 0.80325496 0 0 0 1.3843315 0 0
"Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.50_88.06_3.48" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09359549 0 0 0.30454144 0.2487935 0 0 0 0 0 0 0 0 0 0 0 0 0.20044343 0 0 0 0.33744526 0 0 0 0 0 0 0 0 0 0 0.100230284 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.61_83.67_6.26" 0.2988511 0 0 0 0 0 0 0 0 0 0 0 1.000208 0 0 0 0 0 0 0 0 0 0 0 0.7479899 0 0 0 0 0 0 0 0 0 0.20170134 0 0 3.0646734 0.17590703 0 0 0 0 0 0 0 0 0 0 0 0 0.59987396 0 0 0 5.4059477 0 0 0 0 0 0 0.984902 0 0 0 0.86796814 0 0
"20150700_P15_4" 0 0 0 0 0 0.25581256 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.34303546 0.13043737 0 0 0.12365947 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2682645 0 0.06564502 0 0.6644447 11.268087 0.69122154 0 0 0.13540155 0 0.12101739 0 0.06912775 0 0 0 0
"20150700_P15_11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.38059902 3.2073514 0.20888136 0 0 0 0 0 0 0 0 0 0 0
"20150700_P15_5" 0.13044868 0 0 0 0 0 0 0 0 0 0 0 0.43011156 0 0 0.18717577 0 0 0 0 0 0 0 0 3.080136 0 0 0 0 0 0 0 0 0 0.17150243 0 0 0.581299 1.0306107 0.073134445 0 0 0 0 0 0 0 0 0 0 0 5.6052804 0 0 0 5.250199 6.5592794 0.2257438 0 0.5152973 0 0 2.063443 0 0 0 3.152128 0 0
"20120600_P3M_9" 1.0773783 0 0 0 0 0 0.20633307 0 0 0 0 0 1.1025506 0 0 0 0 0 0 0 0 0 0 0 1.1959652 0 0 0 0 0.0570766 0 0 0 0 0.3825807 0 0 4.433077 0.7616426 0 0 0 0 0 0 0 0 0 0 0 0 1.5583552 0 0 0 3.1877084 0 0 0 0 0 0 0.10937932 0 0 0 1.8133657 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.210_73.18_6.21" 0 0 0 0 0 0 0 0 0 0 0 0 0.09174082 0 0 0 0 0 0 0 0 0 0 0 0.061804324 0 0 0 0 0 0 0 0 0 0 0 0 1.5242529 0.06900976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10700909 0 0 0 0 0 0 0 0 0 0 0.20947257 0 0
"Palsa.Unlabelled.R1.T3.F2.trimmomatic.metaspades_bin.96_80.51_1.15" 0.4612823 0 0 0 0 0 0 0 0 0 0 0 0.5169205 0 0 0 0 0 0 0 0 0 0 0 0.61276037 0 0 0 0 0.25184983 0 0 0 0 0.09434322 0 0 0.8733276 0.30144295 0 0 0 0 0 0 0 0 0 0 0 0 2.6054847 0 0 0 3.760003 0 0 0 0 0 0 0.14544408 0 0 0 2.1226625 0 0
"20111000_P1S_2" 0.0907448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3654559 0 0 0 0 0 0 0 0 0 0 0 0 0
"20150700_P31_7" 0 0 0 0 0 0 0 0 0 0 0 0 0.062102318 0 0 0 0 0 0 0 0 0 0 0 0.31132096 0 0 0 0 0 0 0 0 0 0 0 0 0.20043775 0.18947358 0 0 0 0 0 0 0 0 0 0 0 0 1.6372691 0 0 0 0.35975516 0.063910894 0 0 0 0 0 0.15863232 0 0 0 0.5571155 0 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29" 0.60471183 0 0 0 0 0 0.12775347 0 0 0 0 0 1.5498848 0 0 0.39878517 0 0.075890146 0 0 0 0 0 0 5.360132 0.08320095 0 0 0 0.09483679 0 0 0 0 0.40266484 0.06499507 0 3.2050123 2.6027489 0.121671945 0 0 0 0 0 0 0.07169427 0 0 0 0 9.907848 0 0 0 5.6744466 1.6794059 0.12651491 0 0.6742551 0 0 1.4489233 0 0 0 3.7435298 0 0
"20160700_P15_24" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.30311912 0 0 0 0 0.3008185 0 0 0 0 0 0.09599937 0 0 0 0 0 0
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.302_84.77_4.31" 0.33561352 0 0 0 0 0 0 0 0 0 0 0 0.14716928 0 0 0.06807887 0 0 0 0 0 0 0 0 0.21261859 0 0 0 0 0 0 0 0 0 0 0 0 6.3921514 1.8466351 0.08230308 0 0 0 0 0 0 0 0 0 0 0 1.5475208 0 0 0 0.9876424 0 0 0 0 0 0 0.20107289 0 0 0 1.3801938 0 0
"20170700_P14_3" 0 0 0 0 0 0.54576623 0 0 0 0 0 0 0 0 0 0 0 0.113568164 0 0 0 0 0 0 0.09393372 0.057943925 0 0 0.20961875 0 0 0 0 0 0 0 0 0 0.06475674 0 0 0 0 0 0 0 0 0 0 0 0 4.2380137 0.24806198 2.1381366 0.14557469 0.15978904 1.1760916 0.088144384 0 0 0 0 0 0 0 0 0 0 0
"20140700_S32_12" 0 0 0.13542861 2.6357021 0.9159001 12.395271 0 0 0.33670098 0.6240735 5.184909 0.2394079 0.27110425 1.1625986 1.0902363 0 0.07923663 7.1806073 2.3686972 0.14180759 0 0.4124231 1.2175292 0.7255549 9.0202875 2.3033986 0.67436874 2.69756 7.2808795 0 0.40623373 2.0109322 0.22225016 0.39185843 0 0.650657 5.2866015 3.2901828 32.63201 7.832611 0.5607189 0.12984444 0 0.83446187 0.81794745 1.0203863 0 0.8215393 0.12491507 1.4762552 0.9333174 5.1317754 1.3407633 4.081494 0.38250965 0.23551251 13.696187 24.51089 0.09088722 9.766242 2.3126807 0.33142042 0.13279687 4.4846206 37.67805 0.44107208 15.131378 6.5333586 0.39298904
"20160700_S23_13" 0 0.072693385 0 0 0 0.061067853 0 0 0 0 0 0 0.3362279 0 0 0.13078107 0 0 0 0 0 0 0 0 3.7038085 2.2251172 0.11203016 0 0.1502783 0 0 0 0 0 0 0.30428007 0 0 0.45620897 0.06341595 0 0 0 0 0 0 0.07204543 0 0 0 0 9.733205 0.5664362 0 0 0.8603698 37.837437 1.1419122 0 2.11817 0.9021185 0 5.7464075 0.055883996 0 0 2.7130764 0.15905616 0
"Palsa.None.R2.T0.JGI.BFC.metaspades_bin.14_80.71_5.34" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.18264182 0.05917921 0 0 0 0 0 0 0 0 0 0 0 0 0.1987951 0 0 0 0.8366199 0 0 0 0 0 0 0 0 0 0 0 0 0
"Palsa.Labelled.R3.T1.F2.trimmomatic.megahit_bin.31_72.28_6.84" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10562019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.66048014 0 0 0 1.2527255 0 0 0 0 0 0 0.060986478 0 0 0 0 0 0
"20150700_P31_3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10046792 0 0 0.15239319 0.118956715 0 0 0 0 0 0 0 0 0 0 0 0 1.0647206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16486165 0 0
"20160700_P15_18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.22830552 0 0 0 0.2328834 1.8834747 0 0 0 0 0 0 0 0 0 0 0 0
"20140700_S21_14" 1.9347942 0 0 0 0 0 0.3233683 0 0 0 0 0 3.186397 0 0 0 0 0 0 0 0 0 0 0 2.3075948 0 0 0 0 0.3027959 0 0 0 0 21.499773 0 0 9.582685 3.6011877 0.08680277 0 0 0.6348132 0 0 0 0 0 0 0 0 2.2548795 0 0 0 10.032168 0 0.08305372 0 0.0595046 0 0 2.136156 0 0 0 4.0056167 0 0
"20120600_P3M_11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06968457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23779672 0 0 0 0 0 0 0 0 0 0 0 0 0
"20150700_S21_6" 4.5704236 0 0 0 0 0 0 0 0 0 0 0 9.119242 0 0 0 0 0 0 0 0 0 0 0 20.830822 0.08701221 0.090943456 0 0 0.13118213 0 0 0 0 0 0 0 5.485044 5.0046387 0.059343677 0 0 0 0 0 0 0 0 0 0 0 4.9279766 0 0 0 9.582706 0 0 0 0.3055119 0 0 0 0 0 0 8.191162 0 0
"20111000_P2S_1" 0.79980403 0 0 0 0 0 0 0 0 0 0 0 1.8744522 0 0 0 0 0 0 0 0 0 0 0 3.8047295 0 0 0 0 0 0 0 0 0 0.21809202 0 0 2.3177629 0.31209207 0 0 0 0 0 0 0 0 0 0 0 0 1.0647684 0 0 0 3.5665534 0 0 0 0 0 0 0.18345143 0 0 0 0.4170941 0 0
