genome,anaerobe
20110700_E2D_3,TRUE
20110700_E2D_4,TRUE
20110700_E2D_5,TRUE
20110700_E2D_6,TRUE
20110700_E2D_7,TRUE
20110700_E2D_8,FALSE
20110700_E2D_9,TRUE
20110700_E2M_1,TRUE
20110700_E2M_2,TRUE
20110700_E2M_3,TRUE
20110700_E2M_4,TRUE
20110700_E2M_5,FALSE
20110700_E2S_1,TRUE
20110700_E3M_1,TRUE
20110700_E3M_2,FALSE
20110700_E3M_3,FALSE
20110700_E3M_4,TRUE
20110700_E3M_5,TRUE
20110700_E3M_6,TRUE
20110700_E3M_7,FALSE
20110700_E3M_8,FALSE
20110700_P1D_1,TRUE
20110700_P1D_10,TRUE
20110700_P1D_11,TRUE
20110700_P1D_12,TRUE
20110700_P1D_2,TRUE
20110700_P1D_3,TRUE
20110700_P1D_4,TRUE
20110700_P1D_5,TRUE
20110700_P1D_6,TRUE
20110700_P1D_7,TRUE
20110700_P1D_8,FALSE
20110700_P1D_9,FALSE
20110700_P1M_1,FALSE
20110700_P1M_2,TRUE
20110700_P1M_3,TRUE
20110700_P1M_4,TRUE
20110700_P1M_5,FALSE
20110700_P1M_6,TRUE
20110700_P1M_7,FALSE
20110700_P1M_8,FALSE
20110700_P1M_9,TRUE
20110700_P1S_1,FALSE
20110700_P1S_10,TRUE
20110700_P1S_11,TRUE
20110700_P1S_12,TRUE
20110700_P1S_2,TRUE
20110700_P1S_3,TRUE
20110700_P1S_4,TRUE
20110700_P1S_5,TRUE
20110700_P1S_6,TRUE
20110700_P1S_7,FALSE
20110700_P1S_8,TRUE
20110700_P1S_9,TRUE
20110700_P2D_1,TRUE
20110700_P2D_10,TRUE
20110700_P2D_11,FALSE
20110700_P2D_12,TRUE
20110700_P2D_13,TRUE
20110700_P2D_14,TRUE
20110700_P2D_15,TRUE
20110700_P2D_16,TRUE
20110700_P2D_17,FALSE
20110700_P2D_18,TRUE
20110700_P2D_19,TRUE
20110700_P2D_2,TRUE
20110700_P2D_20,FALSE
20110700_P2D_21,TRUE
20110700_P2D_22,TRUE
20110700_P2D_23,TRUE
20110700_P2D_24,FALSE
20110700_P2D_25,TRUE
20110700_P2D_26,TRUE
20110700_P2D_27,TRUE
20110700_P2D_28,TRUE
20110700_P2D_29,TRUE
20110700_P2D_3,TRUE
20110700_P2D_30,FALSE
20110700_P2D_31,TRUE
20110700_P2D_32,TRUE
20110700_P2D_33,TRUE
20110700_P2D_34,TRUE
20110700_P2D_35,TRUE
20110700_P2D_36,TRUE
20110700_P2D_37,TRUE
20110700_P2D_38,TRUE
20110700_P2D_4,TRUE
20110700_P2D_5,TRUE
20110700_P2D_6,TRUE
20110700_P2D_7,TRUE
20110700_P2D_8,TRUE
20110700_P2D_9,TRUE
20110700_P2M_1,FALSE
20110700_P2M_10,FALSE
20110700_P2M_11,TRUE
20110700_P2M_12,FALSE
20110700_P2M_13,TRUE
20110700_P2M_2,TRUE
20110700_P2M_3,TRUE
20110700_P2M_4,TRUE
20110700_P2M_5,FALSE
20110700_P2M_6,TRUE
20110700_P2M_7,FALSE
20110700_P2M_8,FALSE
20110700_P2M_9,TRUE
20110700_P2S_1,TRUE
20110700_P2S_2,TRUE
20110700_P2S_3,TRUE
20110700_P2S_4,FALSE
20110700_P2S_5,FALSE
20110700_P2S_6,TRUE
20110700_P2S_7,FALSE
20110700_P3D_1,FALSE
20110700_P3D_10,TRUE
20110700_P3D_11,TRUE
20110700_P3D_12,TRUE
20110700_P3D_13,TRUE
20110700_P3D_14,FALSE
20110700_P3D_2,TRUE
20110700_P3D_3,TRUE
20110700_P3D_4,TRUE
20110700_P3D_5,TRUE
20110700_P3D_6,TRUE
20110700_P3D_7,TRUE
20110700_P3D_8,TRUE
20110700_P3D_9,TRUE
20110700_P3M_1,TRUE
20110700_P3M_10,FALSE
20110700_P3M_11,TRUE
20110700_P3M_12,FALSE
20110700_P3M_13,TRUE
20110700_P3M_14,FALSE
20110700_P3M_2,TRUE
20110700_P3M_3,TRUE
20110700_P3M_4,FALSE
20110700_P3M_5,FALSE
20110700_P3M_6,TRUE
20110700_P3M_7,FALSE
20110700_P3M_8,TRUE
20110700_P3M_9,TRUE
20110700_P3S_1,TRUE
20110700_P3S_2,FALSE
20110700_P3S_3,TRUE
20110700_P3S_4,TRUE
20110700_P3S_5,TRUE
20110700_P3S_6,FALSE
20110700_P3S_7,TRUE
20110700_P3S_8,TRUE
20110700_S1D_1,TRUE
20110700_S1D_10,TRUE
20110700_S1D_11,TRUE
20110700_S1D_12,TRUE
20110700_S1D_13,TRUE
20110700_S1D_14,TRUE
20110700_S1D_15,TRUE
20110700_S1D_2,TRUE
20110700_S1D_3,TRUE
20110700_S1D_4,TRUE
20110700_S1D_5,TRUE
20110700_S1D_6,TRUE
20110700_S1D_7,FALSE
20110700_S1D_8,TRUE
20110700_S1D_9,TRUE
20110700_S1M_1,TRUE
20110700_S1M_10,TRUE
20110700_S1M_11,TRUE
20110700_S1M_12,TRUE
20110700_S1M_13,TRUE
20110700_S1M_14,TRUE
20110700_S1M_15,TRUE
20110700_S1M_16,TRUE
20110700_S1M_17,TRUE
20110700_S1M_18,TRUE
20110700_S1M_19,TRUE
20110700_S1M_2,TRUE
20110700_S1M_3,TRUE
20110700_S1M_4,TRUE
20110700_S1M_5,TRUE
20110700_S1M_6,TRUE
20110700_S1M_7,TRUE
20110700_S1M_8,TRUE
20110700_S1M_9,TRUE
20110700_S1S_1,TRUE
20110700_S1S_2,TRUE
20110700_S1S_3,TRUE
20110700_S1S_4,TRUE
20110700_S1S_5,FALSE
20110700_S1S_6,TRUE
20110700_S2D_1,TRUE
20110700_S2D_10,TRUE
20110700_S2D_11,TRUE
20110700_S2D_12,TRUE
20110700_S2D_13,TRUE
20110700_S2D_14,TRUE
20110700_S2D_15,FALSE
20110700_S2D_16,FALSE
20110700_S2D_17,TRUE
20110700_S2D_18,TRUE
20110700_S2D_19,TRUE
20110700_S2D_2,TRUE
20110700_S2D_20,TRUE
20110700_S2D_21,TRUE
20110700_S2D_22,TRUE
20110700_S2D_23,TRUE
20110700_S2D_24,FALSE
20110700_S2D_25,FALSE
20110700_S2D_26,TRUE
20110700_S2D_27,TRUE
20110700_S2D_3,TRUE
20110700_S2D_4,TRUE
20110700_S2D_5,TRUE
20110700_S2D_6,TRUE
20110700_S2D_7,FALSE
20110700_S2D_8,TRUE
20110700_S2D_9,TRUE
20110700_S2M_1,FALSE
20110700_S2M_10,FALSE
20110700_S2M_11,TRUE
20110700_S2M_12,TRUE
20110700_S2M_13,TRUE
20110700_S2M_14,TRUE
20110700_S2M_15,TRUE
20110700_S2M_16,TRUE
20110700_S2M_17,TRUE
20110700_S2M_2,TRUE
20110700_S2M_3,TRUE
20110700_S2M_4,TRUE
20110700_S2M_5,TRUE
20110700_S2M_6,TRUE
20110700_S2M_7,TRUE
20110700_S2M_8,TRUE
20110700_S2M_9,TRUE
20110700_S3M_1,FALSE
20110700_S3M_10,TRUE
20110700_S3M_11,TRUE
20110700_S3M_12,TRUE
20110700_S3M_13,TRUE
20110700_S3M_14,TRUE
20110700_S3M_15,TRUE
20110700_S3M_16,TRUE
20110700_S3M_17,TRUE
20110700_S3M_18,TRUE
20110700_S3M_19,TRUE
20110700_S3M_2,TRUE
20110700_S3M_20,TRUE
20110700_S3M_21,TRUE
20110700_S3M_22,TRUE
20110700_S3M_23,FALSE
20110700_S3M_24,TRUE
20110700_S3M_25,TRUE
20110700_S3M_26,TRUE
20110700_S3M_27,TRUE
20110700_S3M_28,TRUE
20110700_S3M_29,TRUE
20110700_S3M_3,FALSE
20110700_S3M_30,TRUE
20110700_S3M_31,TRUE
20110700_S3M_32,TRUE
20110700_S3M_4,TRUE
20110700_S3M_5,TRUE
20110700_S3M_6,TRUE
20110700_S3M_7,TRUE
20110700_S3M_8,FALSE
20110700_S3M_9,TRUE
20110800_E1D_1,TRUE
20110800_E1D_10,TRUE
20110800_E1D_11,TRUE
20110800_E1D_12,TRUE
20110800_E1D_13,TRUE
20110800_E1D_14,TRUE
20110800_E1D_15,TRUE
20110800_E1D_16,FALSE
20110800_E1D_17,TRUE
20110800_E1D_18,TRUE
20110800_E1D_19,TRUE
20110800_E1D_2,FALSE
20110800_E1D_20,TRUE
20110800_E1D_21,TRUE
20110800_E1D_22,FALSE
20110800_E1D_3,TRUE
20110800_E1D_4,TRUE
20110800_E1D_5,TRUE
20110800_E1D_6,TRUE
20110800_E1D_7,TRUE
20110800_E1D_8,TRUE
20110800_E1D_9,FALSE
20110800_E1M_1,FALSE
20110800_E1M_2,FALSE
20110800_E1M_3,TRUE
20110800_E1M_4,FALSE
20110800_E1M_5,TRUE
20110800_E1M_6,TRUE
20110800_E1S_1,FALSE
20110800_E1S_2,TRUE
20110800_E1S_3,TRUE
20110800_E1S_4,FALSE
20110800_E1S_5,TRUE
20110800_E1S_6,FALSE
20110800_E1S_7,FALSE
20110800_E1S_8,TRUE
20110800_E2D_1,TRUE
20110800_E2D_10,TRUE
20110800_E2D_11,TRUE
20110800_E2D_12,FALSE
20110800_E2D_13,FALSE
20110800_E2D_14,TRUE
20110800_E2D_15,TRUE
20110800_E2D_16,FALSE
20110800_E2D_17,TRUE
20110800_E2D_18,FALSE
20110800_E2D_19,TRUE
20110800_E2D_2,TRUE
20110800_E2D_20,TRUE
20110800_E2D_21,FALSE
20110800_E2D_22,TRUE
20110800_E2D_23,TRUE
20110800_E2D_24,TRUE
20110800_E2D_25,TRUE
20110800_E2D_26,TRUE
20110800_E2D_27,TRUE
20110800_E2D_28,TRUE
20110800_E2D_29,TRUE
20110800_E2D_3,TRUE
20110800_E2D_30,FALSE
20110800_E2D_31,TRUE
20110800_E2D_32,TRUE
20110800_E2D_33,FALSE
20110800_E2D_34,TRUE
20110800_E2D_35,TRUE
20110800_E2D_4,TRUE
20110800_E2D_5,TRUE
20110800_E2D_6,TRUE
20110800_E2D_7,FALSE
20110800_E2D_8,TRUE
20110800_E2D_9,TRUE
20110800_E2M_1,TRUE
20110800_E2M_10,TRUE
20110800_E2M_11,FALSE
20110800_E2M_12,TRUE
20110800_E2M_13,TRUE
20110800_E2M_14,TRUE
20110800_E2M_15,TRUE
20110800_E2M_16,TRUE
20110800_E2M_17,TRUE
20110800_E2M_18,TRUE
20110800_E2M_2,FALSE
20110800_E2M_3,FALSE
20110800_E2M_4,TRUE
20110800_E2M_5,TRUE
20110800_E2M_6,TRUE
20110800_E2M_7,FALSE
20110800_E2M_8,TRUE
20110800_E2M_9,FALSE
20110800_E2S_1,TRUE
20110800_E2S_10,TRUE
20110800_E2S_11,TRUE
20110800_E2S_12,TRUE
20110800_E2S_2,TRUE
20110800_E2S_3,TRUE
20110800_E2S_4,TRUE
20110800_E2S_5,TRUE
20110800_E2S_6,TRUE
20110800_E2S_7,FALSE
20110800_E2S_8,FALSE
