genome,slp,etc,aerobic
20110600_S3M_9,3,3,TRUE
20110600_S3S_1,3,3,TRUE
20110600_S3S_2,3,4,TRUE
20110600_S3S_3,3,4,TRUE
20110600_S3S_4,3,5,TRUE
20110600_S3S_5,3,5,TRUE
20110700_E1D_1,3,5,TRUE
20110700_E1D_2,1,1,FALSE
20110700_E1D_3,2,2,FALSE
20110700_E1D_4,4,2,FALSE
20110700_E1D_5,3,4,TRUE
20110700_E1D_6,2,5,TRUE
20110700_E1M_1,1,1,FALSE
20110700_E1M_2,3,5,TRUE
20110700_E1M_3,3,5,TRUE
20110700_E1M_4,2,5,TRUE
20110700_E1M_5,3,5,TRUE
20110700_E1S_1,4,5,TRUE
20110700_E2D_1,2,2,FALSE
20110700_E2D_10,2,5,TRUE
20110700_E2D_2,4,4,TRUE
20110700_E2D_3,4,4,TRUE
20110700_E2D_4,3,5,TRUE
20110700_E2D_5,3,2,FALSE
20110700_E2D_6,4,5,TRUE
20110700_E2D_7,2,3,TRUE
20110700_E2D_8,0,1,FALSE
20110700_E2D_9,4,3,TRUE
20110700_E2M_1,4,5,TRUE
20110700_E2M_2,4,5,TRUE
20110700_E2M_3,4,5,TRUE
20110700_E2M_4,3,5,TRUE
20110700_E2M_5,1,1,FALSE
20110700_E2S_1,4,5,TRUE
20110700_E3M_1,3,5,TRUE
20110700_E3M_2,3,5,TRUE
20110700_E3M_3,3,4,TRUE
20110700_E3M_4,2,5,TRUE
20110700_E3M_5,3,5,TRUE
20110700_E3M_6,4,5,TRUE
20110700_E3M_7,1,1,FALSE
20110700_E3M_8,1,1,FALSE
20110700_P1D_1,3,4,TRUE
20110700_P1D_10,3,4,TRUE
20110700_P1D_11,4,3,TRUE
20110700_P1D_12,4,4,TRUE
20110700_P1D_2,4,4,TRUE
20110700_P1D_3,3,5,TRUE
20110700_P1D_4,4,5,TRUE
20110700_P1D_5,4,5,TRUE
20110700_P1D_6,3,4,TRUE
20110700_P1D_7,3,4,TRUE
20110700_P1D_8,3,5,TRUE
20110700_P1D_9,3,4,TRUE
20110700_P1M_1,2,3,TRUE
20110700_P1M_2,4,5,TRUE
20110700_P1M_3,3,4,TRUE
20110700_P1M_4,3,3,TRUE
20110700_P1M_5,4,4,TRUE
20110700_P1M_6,4,4,TRUE
20110700_P1M_7,3,5,TRUE
20110700_P1M_8,4,3,TRUE
20110700_P1M_9,4,5,TRUE
20110700_P1S_1,4,4,TRUE
20110700_P1S_10,4,2,FALSE
20110700_P1S_11,3,4,TRUE
20110700_P1S_12,4,4,TRUE
20110700_P1S_2,3,4,TRUE
20110700_P1S_3,3,4,TRUE
20110700_P1S_4,3,5,TRUE
20110700_P1S_5,2,4,TRUE
20110700_P1S_6,4,4,TRUE
20110700_P1S_7,3,3,TRUE
20110700_P1S_8,3,4,TRUE
20110700_P1S_9,3,4,TRUE
20110700_P2D_1,3,4,TRUE
20110700_P2D_10,3,1,FALSE
20110700_P2D_11,3,5,TRUE
20110700_P2D_12,3,4,TRUE
20110700_P2D_13,4,5,TRUE
20110700_P2D_14,3,5,TRUE
20110700_P2D_15,3,5,TRUE
20110700_P2D_16,4,5,TRUE
20110700_P2D_17,4,5,TRUE
20110700_P2D_18,3,4,TRUE
20110700_P2D_19,4,4,TRUE
20110700_P2D_2,3,4,TRUE
20110700_P2D_20,3,4,TRUE
20110700_P2D_21,3,4,TRUE
20110700_P2D_22,4,5,TRUE
20110700_P2D_23,3,5,TRUE
20110700_P2D_24,3,5,TRUE
20110700_P2D_25,4,4,TRUE
20110700_P2D_26,3,3,TRUE
20110700_P2D_27,3,4,TRUE
20110700_P2D_28,4,5,TRUE
20110700_P2D_29,3,4,TRUE
20110700_P2D_3,4,4,TRUE
20110700_P2D_30,4,4,TRUE
20110700_P2D_31,3,4,TRUE
20110700_P2D_32,3,5,TRUE
20110700_P2D_33,3,4,TRUE
20110700_P2D_34,4,4,TRUE
20110700_P2D_35,3,4,TRUE
20110700_P2D_36,3,3,TRUE
20110700_P2D_37,3,4,TRUE
20110700_P2D_38,4,3,TRUE
20110700_P2D_4,2,5,TRUE
20110700_P2D_5,4,5,TRUE
20110700_P2D_6,4,5,TRUE
20110700_P2D_7,4,5,TRUE
20110700_P2D_8,4,3,TRUE
20110700_P2D_9,4,5,TRUE
20110700_P2M_1,4,3,TRUE
20110700_P2M_10,3,4,TRUE
20110700_P2M_11,4,5,TRUE
20110700_P2M_12,3,4,TRUE
20110700_P2M_13,2,5,TRUE
20110700_P2M_2,3,5,TRUE
20110700_P2M_3,3,5,TRUE
20110700_P2M_4,3,5,TRUE
20110700_P2M_5,4,4,TRUE
20110700_P2M_6,3,5,TRUE
20110700_P2M_7,4,3,TRUE
20110700_P2M_8,3,4,TRUE
20110700_P2M_9,4,5,TRUE
20110700_P2S_1,4,5,TRUE
20110700_P2S_2,3,4,TRUE
20110700_P2S_3,4,5,TRUE
20110700_P2S_4,2,3,TRUE
20110700_P2S_5,4,2,FALSE
20110700_P2S_6,3,5,TRUE
20110700_P2S_7,4,5,TRUE
20110700_P3D_1,4,5,TRUE
20110700_P3D_10,3,5,TRUE
20110700_P3D_11,4,5,TRUE
20110700_P3D_12,4,5,TRUE
20110700_P3D_13,3,5,TRUE
20110700_P3D_14,4,4,TRUE
20110700_P3D_2,3,3,TRUE
20110700_P3D_3,4,5,TRUE
20110700_P3D_4,3,5,TRUE
20110700_P3D_5,3,5,TRUE
20110700_P3D_6,4,4,TRUE
20110700_P3D_7,4,5,TRUE
20110700_P3D_8,3,5,TRUE
20110700_P3D_9,4,4,TRUE
20110700_P3M_1,4,5,TRUE
20110700_P3M_10,4,4,TRUE
20110700_P3M_11,3,5,TRUE
20110700_P3M_12,3,4,TRUE
20110700_P3M_13,3,5,TRUE
20110700_P3M_14,4,3,TRUE
20110700_P3M_2,3,5,TRUE
20110700_P3M_3,3,5,TRUE
20110700_P3M_4,4,5,TRUE
20110700_P3M_5,3,3,TRUE
20110700_P3M_6,3,5,TRUE
20110700_P3M_7,4,3,TRUE
20110700_P3M_8,3,5,TRUE
20110700_P3M_9,4,4,TRUE
20110700_P3S_1,3,4,TRUE
20110700_P3S_2,2,4,TRUE
20110700_P3S_3,4,3,TRUE
20110700_P3S_4,3,5,TRUE
20110700_P3S_5,3,5,TRUE
20110700_P3S_6,3,5,TRUE
20110700_P3S_7,2,4,TRUE
20110700_P3S_8,4,4,TRUE
20110700_S1D_1,3,4,TRUE
20110700_S1D_10,4,4,TRUE
20110700_S1D_11,4,5,TRUE
20110700_S1D_12,3,4,TRUE
20110700_S1D_13,4,4,TRUE
20110700_S1D_14,4,5,TRUE
20110700_S1D_15,3,4,TRUE
20110700_S1D_2,3,5,TRUE
20110700_S1D_3,3,4,TRUE
20110700_S1D_4,3,4,TRUE
20110700_S1D_5,3,5,TRUE
20110700_S1D_6,4,5,TRUE
20110700_S1D_7,3,4,TRUE
20110700_S1D_8,4,5,TRUE
20110700_S1D_9,4,3,TRUE
20110700_S1M_1,4,4,TRUE
20110700_S1M_10,3,4,TRUE
20110700_S1M_11,4,4,TRUE
20110700_S1M_12,3,4,TRUE
20110700_S1M_13,4,4,TRUE
20110700_S1M_14,4,5,TRUE
20110700_S1M_15,3,4,TRUE
20110700_S1M_16,3,5,TRUE
20110700_S1M_17,4,4,TRUE
20110700_S1M_18,4,3,TRUE
20110700_S1M_19,3,5,TRUE
20110700_S1M_2,3,5,TRUE
20110700_S1M_3,3,4,TRUE
20110700_S1M_4,3,4,TRUE
20110700_S1M_5,3,5,TRUE
20110700_S1M_6,3,5,TRUE
20110700_S1M_7,3,3,TRUE
20110700_S1M_8,3,5,TRUE
20110700_S1M_9,2,4,TRUE
20110700_S1S_1,3,4,TRUE
20110700_S1S_2,2,4,TRUE
20110700_S1S_3,4,5,TRUE
20110700_S1S_4,3,4,TRUE
20110700_S1S_5,4,3,TRUE
20110700_S1S_6,3,5,TRUE
20110700_S2D_1,4,4,TRUE
20110700_S2D_10,4,3,TRUE
20110700_S2D_11,3,4,TRUE
20110700_S2D_12,4,4,TRUE
20110700_S2D_13,3,5,TRUE
20110700_S2D_14,3,5,TRUE
20110700_S2D_15,3,3,TRUE
20110700_S2D_16,4,5,TRUE
20110700_S2D_17,4,5,TRUE
20110700_S2D_18,4,5,TRUE
20110700_S2D_19,4,5,TRUE
20110700_S2D_2,3,5,TRUE
20110700_S2D_20,4,4,TRUE
20110700_S2D_21,1,1,FALSE
20110700_S2D_22,4,5,TRUE
20110700_S2D_23,1,1,FALSE
20110700_S2D_24,3,5,TRUE
20110700_S2D_25,3,3,TRUE
20110700_S2D_26,4,5,TRUE
20110700_S2D_27,4,5,TRUE
20110700_S2D_3,4,5,TRUE
